127.0.0.1 - - [05/Jun/2023:09:05:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:05:57 +0900] "GET /cyworldrenew1/login.html HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:05:57 +0900] "GET /cyworldrenew1/login.css HTTP/1.1" 200 6445
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:05:57 +0900] "GET /cyworldrenew1/background/cyworld%20login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:05:57 +0900] "GET /cyworldrenew1/background/cyworld%20login1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:05:57 +0900] "GET /cyworldrenew1/background/cyworld%20login2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:05:57 +0900] "GET /cyworldrenew1/background/cyworldText.jpg HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:05:57 +0900] "GET /cyworldrenew1/background/cyworldlogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:05:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:09:16 +0900] "GET /cyworldrenew1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:09:16 +0900] "GET /cyworldrenew1/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:09:16 +0900] "GET /cyworldrenew1/background/cyworldText.jpg HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:12:59 +0900] "GET /cyworldrenew1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:12:59 +0900] "GET /cyworldrenew1/login.css HTTP/1.1" 200 6445
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:12:59 +0900] "GET /cyworldrenew1/background/cyworldText.jpg HTTP/1.1" 200 20321
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:13:05 +0900] "POST /cyworldrenew1/loginCheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:13:05 +0900] "GET /cyworldrenew1/resultaddmember.jsp;jsessionid=5F014544307232F51F848BFC5811CEEA?msg=2 HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:13:05 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:13:52 +0900] "GET /cyworldrenew1/login.css HTTP/1.1" 200 6445
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:13:52 +0900] "GET /cyworldrenew1/background/cyworldText.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:14:33 +0900] "GET /cyworldrenew1/index.jsp HTTP/1.1" 200 10999
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:14:33 +0900] "GET /cyworldrenew1/index.css HTTP/1.1" 200 4843
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:14:33 +0900] "GET /cyworldrenew1/userprofileimg/miniroom1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:14:33 +0900] "GET /cyworldrenew1/background/background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:14:33 +0900] "GET /cyworldrenew1/background/outer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:14:33 +0900] "GET /cyworldrenew1/userprofileimg/miniroom5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:11:21:36 +0900] "GET /cyworldrenew1/index.css HTTP/1.1" 200 4843
